Module                  Size  Used by
usbhid                 73728  0
xt_conntrack           16384  2
xt_MASQUERADE          20480  2
nf_conntrack_netlink    57344  0
xt_addrtype            16384  2
br_netfilter           32768  0
bridge                364544  1 br_netfilter
stp                    16384  1 bridge
llc                    16384  2 bridge,stp
overlay               172032  0
rfcomm                 90112  16
snd_seq_dummy          16384  0
snd_hrtimer            16384  1
snd_seq                94208  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
nft_fib_inet           16384  1
nft_fib_ipv4           16384  1 nft_fib_inet
nft_fib_ipv6           16384  1 nft_fib_inet
nft_fib                16384  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
nft_reject_inet        16384  6
nf_reject_ipv4         16384  1 nft_reject_inet
nf_reject_ipv6         20480  1 nft_reject_inet
nft_reject             16384  1 nft_reject_inet
nft_ct                 24576  9
nft_chain_nat          16384  3
nf_tables             286720  259 nft_ct,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_chain_nat,nft_reject,nft_fib,nft_fib_inet
ip6table_nat           16384  0
ip6table_mangle        16384  0
ip6table_raw           16384  0
ip6table_security      16384  0
iptable_nat            16384  1
nf_nat                 57344  4 ip6table_nat,nft_chain_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          180224  5 xt_conntrack,nf_nat,nft_ct,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
libcrc32c              16384  3 nf_conntrack,nf_nat,nf_tables
iptable_mangle         16384  0
iptable_raw            16384  0
iptable_security       16384  0
snd_ctl_led            24576  0
ccm                    20480  9
algif_aead             16384  0
des_generic            16384  0
libdes                 24576  1 des_generic
snd_soc_skl_hda_dsp    24576  5
ecb                    16384  0
snd_soc_intel_hda_dsp_common    20480  1 snd_soc_skl_hda_dsp
algif_skcipher         16384  1
snd_sof_probes         24576  0
snd_soc_hdac_hdmi      45056  1 snd_soc_skl_hda_dsp
nfnetlink              20480  4 nf_conntrack_netlink,nf_tables
cmac                   16384  2
md4                    16384  0
algif_hash             16384  1
ip6table_filter        16384  0
af_alg                 36864  7 algif_hash,algif_skcipher,algif_aead
ip6_tables             36864  5 ip6table_filter,ip6table_raw,ip6table_nat,ip6table_mangle,ip6table_security
iptable_filter         16384  1
snd_hda_codec_hdmi     86016  1
nvidia_drm             73728  2
snd_hda_codec_realtek   167936  1
nvidia_modeset       1429504  2 nvidia_drm
snd_hda_codec_generic    98304  1 snd_hda_codec_realtek
snd_soc_dmic           16384  1
snd_sof_pci_intel_cnl    16384  2
snd_sof_intel_hda_common   139264  1 snd_sof_pci_intel_cnl
soundwire_intel        53248  1 snd_sof_intel_hda_common
soundwire_generic_allocation    16384  1 soundwire_intel
soundwire_cadence      45056  1 soundwire_intel
